Name,Typing,Size,Abilities,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Total Base Stats
Bulbasaur,"GRASS,POISON","0.7 m, 6.9 kg","Overgrow,Chlorophyll",45,49,49,65,65,45,318
Ivysaur,"GRASS,POISON","1 m, 13 kg","Overgrow,Chlorophyll",60,62,63,80,80,60,405
Venusaur,"GRASS,POISON","2 m, 100 kg","Overgrow,Chlorophyll",80,82,83,100,100,80,525
Venusaur-Mega,"GRASS,POISON","2.4 m, 155.5 kg",Thick Fat,80,100,123,122,120,80,625
Venusaur-Gmax,"GRASS,POISON","2 m, 0 kg","Overgrow,Chlorophyll",80,82,83,100,100,80,525
Charmander,FIRE,"0.6 m, 8.5 kg","Blaze,Solar Power",39,52,43,60,50,65,309
Charmeleon,FIRE,"1.1 m, 19 kg","Blaze,Solar Power",58,64,58,80,65,80,405
Charizard,"FIRE,FLYING","1.7 m, 90.5 kg","Blaze,Solar Power",78,84,78,109,85,100,534
Charizard-Mega-X,"FIRE,DRAGON","1.7 m, 110.5 kg",Tough Claws,78,130,111,130,85,100,634
Charizard-Mega-Y,"FIRE,FLYING","1.7 m, 100.5 kg",Drought,78,104,78,159,115,100,634
Charizard-Gmax,"FIRE,FLYING","28 m, 0 kg","Blaze,Solar Power",78,84,78,109,85,100,534
Squirtle,WATER,"0.5 m, 9 kg","Torrent,Rain Dish",44,48,65,50,64,43,314
Wartortle,WATER,"1 m, 22.5 kg","Torrent,Rain Dish",59,63,80,65,80,58,405
Blastoise,WATER,"1.6 m, 85.5 kg","Torrent,Rain Dish",79,83,100,85,105,78,530
Blastoise-Mega,WATER,"1.6 m, 101.1 kg",Mega Launcher,79,103,120,135,115,78,630
Blastoise-Gmax,WATER,"1.6 m, 0 kg","Torrent,Rain Dish",79,83,100,85,105,78,530
Caterpie,BUG,"0.3 m, 2.9 kg","Shield Dust,Run Away",45,30,35,20,20,45,195
Metapod,BUG,"0.7 m, 9.9 kg",Shed Skin,50,20,55,25,25,30,205
