Area,ID,pb2012,pb2011,pb2010,pb2009,pb2008,pb2007,pb2006,pb2005,pb2004,pb2003,pb2002,pb2001,pb2000,pf2012,pf2011,pf2010,pf2009,pf2008,pf2007,pf2006,pf2005,pf2004,pf2003,pf2002,pf2001,pf2000,pm2012,pm2011,pm2010,pm2009,pm2008,pm2007,pm2006,pm2005,pm2004,pm2003,pm2002,pm2001,pm2000
Newfoundland and Labrador (NL),10,9.52,9.36,9.26,9.06,8.72,9,8.67,8.47,8.15,7.77,7.55,7.21,6.93,9.38,9.2,9.07,8.8,8.39,8.5,8.14,7.92,7.58,7.16,6.87,6.52,6.15,9.81,9.67,9.61,9.5,9.25,9.77,9.47,9.28,8.96,8.64,8.5,8.16,8.05
Prince Edward Island (PE),11,8.77,8.47,8.14,7.73,7.39,7.02,6.99,6.78,6.59,6.38,6.11,5.78,5.39,8.47,8.2,7.82,7.36,7.05,6.6,6.55,6.34,6.1,5.76,5.44,5.05,4.68,9.27,8.93,8.66,8.31,7.98,7.71,7.72,7.49,7.38,7.36,7.16,6.91,6.47
Nova Scotia (NS),12,13.12,13.16,13.16,13.03,12.76,12.44,12.29,11.97,11.61,11.15,10.64,10.15,9.54,13.23,13.24,13.2,13.02,12.68,12.27,12.06,11.63,11.17,10.62,10.04,9.47,8.81,13.15,13.24,13.28,13.22,13.04,12.83,12.78,12.59,12.33,12,11.6,11.2,10.67
New Brunswick (NB,13,11.03,10.9,10.81,10.65,10.35,10.17,10.07,9.9,9.58,9.23,8.91,8.51,7.95,10.82,10.65,10.51,10.28,9.94,9.7,9.55,9.29,8.93,8.48,8.07,7.61,6.97,11.4,11.33,11.33,11.26,11.02,10.91,10.91,10.81,10.58,10.36,10.15,9.83,9.34
Nunavut (NU),62,22.06,22.28,22.83,22.94,22.87,22.77,22.46,21.47,-,-,-,-,-,25.98,25.81,26.68,26.79,26.41,26.49,25.73,24.88,-,-,-,-,-,18.47,19.01,19.28,19.34,19.64,19.45,19.55,18.4,-,-,-,-,-
Northwest Territories (NT),61,12.12,12.07,11.99,11.62,11.34,11.11,11.01,10.88,10.61,10.34,10.16,10.26,10.01,12.75,12.68,12.73,12.38,12.15,11.82,11.6,11.3,11.16,10.91,10.72,10.71,10.6,11.61,11.56,11.33,11.03,10.72,10.6,10.54,10.58,10.17,9.87,9.68,9.88,9.52
Yukon (YU),60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Quebec (QC),24,8.89,8.98,9.06,9.06,9.05,9.01,9.01,8.96,8.88,8.71,8.49,8.23,7.75,8.7,8.74,8.77,8.71,8.63,8.53,8.46,8.35,8.19,7.96,7.69,7.39,6.86,9.27,9.43,9.58,9.67,9.77,9.81,9.91,9.96,9.99,9.91,9.77,9.59,9.17
Ontario (ON),35,9.63,9.56,9.45,9.28,9.11,8.82,8.59,8.34,8.15,7.93,7.69,7.4,7.03,9.21,9.13,9.03,8.85,8.67,8.37,8.13,7.86,7.64,7.39,7.11,6.8,6.41,10.15,10.09,9.99,9.84,9.69,9.41,9.21,8.99,8.85,8.67,8.47,8.23,7.89
Manitoba (MB),46,10.38,10.4,10.39,10.29,10.17,10.07,9.96,9.8,9.54,9.29,8.86,8.48,7.95,10.09,10.1,10.04,9.89,9.72,9.58,9.43,9.25,8.96,8.68,8.22,7.79,7.24,10.81,10.86,10.91,10.87,10.83,10.79,10.72,10.59,10.39,10.17,9.79,9.47,8.98
Saskatchewan (SK),47,9.05,8.96,8.9,8.7,8.5,8.34,8.05,7.74,7.43,7.14,6.76,6.39,5.91,8.65,8.53,8.45,8.21,7.96,7.76,7.43,7.09,6.74,6.43,6.04,5.63,5.16,9.61,9.57,9.53,9.37,9.23,9.14,8.91,8.65,8.39,8.11,7.77,7.43,6.95
Alberta (AB),48,9.21,9.13,8.99,8.77,8.58,8.45,8.31,8.16,7.9,7.59,7.26,6.92,6.5,8.82,8.73,8.57,8.32,8.11,7.96,7.76,7.56,7.28,6.92,6.54,6.17,5.75,9.71,9.66,9.56,9.37,9.24,9.14,9.06,8.98,8.76,8.5,8.24,7.93,7.53
British Columbia (BC),59,8.98,8.75,8.43,7.93,7.35,7.06,6.74,6.53,6.29,6.03,5.77,5.48,5.15,8.61,8.37,8.04,7.54,6.96,6.67,6.35,6.14,5.88,5.62,5.33,5.04,4.68,9.43,9.23,8.92,8.43,7.84,7.56,7.23,7.04,6.82,6.57,6.33,6.06,5.75
Canada,-,10,9.9,9.9,9.7,9.6,9.4,9.3,9.2,9,8.9,8.7,8.4,8.1,9.2,9.1,9,8.8,8.5,8.3,8.1,7.9,7.7,7.4,7.1,6.8,6.4,9.5,9.4,9.3,9.1,9,8.8,8.6,8.4,8.2,8,7.7,7.5,7.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTE: p = age-standardized prevalence, b/f/m = both/female/male, #### = year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
